"TOA5","HCHO_landfill_met","CR1000","50904","CR1000.Std.28.02","CPU:hcho-landfill-wx.cr1","3570","halfhourly"
"TIMESTAMP","RECORD","P_10m_Avg","T_10m_Avg","RH_10m_Avg","WS_10m_Avg","WD_10m_unit_Avg","WD_10m_epa_Std","T_2m_Avg","RH_2m_Avg"
"TS","RN","mbar","degC","","m/s","degTN","deg","degC",""
"","","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg"
"2016-06-26 21:30:00",220,1017.87,23.01,34.62,4.093,228,8.28,23.15,38.23
"2016-06-26 22:00:00",221,1017.815,22.62,35.11,4.179,234.2,7.609,22.84,38.74
"2016-06-26 22:30:00",222,1017.817,21.62,36.32,3.908,239.1,4.878,21.72,40.55
"2016-06-26 23:00:00",223,1017.946,21.02,36.15,2.347,232.3,13.65,20.86,41.29
"2016-06-26 23:30:00",224,1018.055,19.9,39.31,2.48,236.8,10.86,19.51,45.17
"2016-06-27 00:00:00",225,1018.054,19.1,42.43,2.264,241.1,10.5,18.97,48.48
"2016-06-27 00:30:00",226,1018.03,18.36,45.12,2.457,235.3,5.733,18.17,51.98
"2016-06-27 01:00:00",227,1017.973,17.51,47.84,2.447,244,7.668,17.57,54.84
"2016-06-27 01:30:00",228,1018.116,17.01,49.65,1.828,243.9,14.81,16.88,57.91
"2016-06-27 02:00:00",229,1018.172,16.31,52.29,2.579,236.3,4.742,16.07,61.11
"2016-06-27 02:30:00",230,1018.257,15.81,53.76,2.468,235.9,4.749,15.6,63.04
"2016-06-27 03:00:00",231,1018.436,15.28,55,3.227,243.1,5.598,15.21,64.13
"2016-06-27 03:30:00",232,1018.68,14.29,57.23,2.81,252.2,16.54,14.37,66.78
"2016-06-27 04:00:00",233,1018.838,14.36,56.14,2.668,234.9,6.02,14.03,66.64
"2016-06-27 04:30:00",234,1019.012,14.9,55.5,2.139,229.2,6.393,14.06,66.4
"2016-06-27 05:00:00",235,1019.35,16.91,54.1,1.331,229.9,18.53,15.61,61.88
"2016-06-27 05:30:00",236,1019.542,17.97,50.34,0.335,34.72,90.4,16.54,61.09
"2016-06-27 06:00:00",237,1019.721,18.39,47.95,0.785,128.8,32.57,17.36,58.22
"2016-06-27 06:30:00",238,1019.712,20.08,44.63,1.028,152,41.5,18.46,54.36
"2016-06-27 07:00:00",239,1019.611,20.36,41.19,1.369,133.7,28.46,19.21,50.26
"2016-06-27 07:30:00",240,1019.516,21.19,39.91,1.891,141.9,18.73,20.06,48.28
"2016-06-27 08:00:00",241,1019.378,21.59,39.01,2.455,144.6,20.93,20.99,46.11
"2016-06-27 08:30:00",242,1019.156,24.14,35.31,1.896,166.4,40.68,22.61,41.9
"2016-06-27 09:00:00",243,1018.658,24.99,32.1,1.379,132.4,52.48,23.93,38.59
"2016-06-27 09:30:00",244,1018.312,26.78,29.48,1.892,166.2,38.21,25.45,34.81
"2016-06-27 10:00:00",245,1018.054,28.74,26.07,2.095,179.2,53.27,27.22,29.98
"2016-06-27 10:30:00",246,1017.809,28.54,24.76,1.883,149.2,66.4,27.99,28.5
"2016-06-27 11:00:00",247,1017.47,29.47,23.75,2.016,131.9,37.46,29.26,26.69
"2016-06-27 11:30:00",248,1017.148,30.47,23.15,1.772,136.9,51.38,30.36,25.92
"2016-06-27 12:00:00",249,1016.637,31.8,22.48,1.488,148.3,46.75,31.44,25.21
"2016-06-27 12:30:00",250,1016.126,32.89,21.32,1.378,130.1,58.62,32.72,23.52
"2016-06-27 13:00:00",251,1015.708,34.35,19.27,1.387,177.3,79.45,33.87,20.83
